idx,config_id,oob_model_count,force_std_rms_oob,force_std_max_coord_oob,force_std_max_atomnorm_oob,force_std_p95_atomnorm_oob,source
1960,d812ab80cd746a0edea794eb20a1c4beccce1966,1,0.0,0.0,0.0,0.0,bi4-6
1961,d6c74ef1b28b552fea853a05dba28ed3e291f4cb,3,0.0010212872529487633,0.002105864345083463,0.002496684734356527,0.0024083007050887794,bi4-6
1962,a5f4f8ef7fb90a4b34e6050aeb9fe7fe8704f540,1,0.0,0.0,0.0,0.0,bi4-6
1963,d8d2f0494c1b4fc1fb1c509d7b9bf59f5b8e3604,2,0.001841807888383804,0.0034156764633783035,0.003440159977939955,0.0034381394372832055,bi4-6
1964,fe173c2467a2688957a1223b7260cb020f709b2d,3,0.0012741623206524392,0.0020512228670747884,0.00296119987687111,0.002902481478969332,bi4-6
1965,caf02ece6ce1a5893da38afc564be2f02b0606a0,2,0.0025248311899563475,0.006746242137369373,0.0067661846805692665,0.006456887642356319,bi4-6
1966,f5411ea60b408e33e9ff49d0fb9178b7b7f81a6c,5,0.0017368509446070938,0.003130873345629896,0.0036688238343281893,0.003628080636635245,bi4-6
1967,e109c94a36d6b4855e91b9512a97bc4c3dd6d90d,3,0.0039014674003556736,0.005897746598463227,0.008104350646670476,0.007983818571823603,bi4-6
1968,e3b86f25bda43ae8987bf4e7ec7042b888b615c8,4,0.0043164724749593176,0.007832105682562018,0.010071831308582142,0.009599251349505143,bi4-6
1969,920cffaca40d25adfe0d354493cb4e333e898106,5,0.003002591982278144,0.005914252977125543,0.006339955223104879,0.006185733416052646,bi4-6
1970,013e11410e8526110c882ba04e0a843dbba416ef,4,0.004461754307050118,0.006927296743938489,0.008359000601479713,0.008285277156435114,bi4-6
1971,76ddaceff0503aabe9a736c74e4ba7f0fac11d4d,3,0.005690361761840397,0.011697864272466602,0.011986175997262889,0.011892502720105835,bi4-6
1972,90fdbce42d27e9fc87ae3d7af7bc707a67488b5a,5,0.002751157756141349,0.005450823502978803,0.005643798553017406,0.00557848064022414,bi4-6
1973,3b3be303b8cb120c300d949535304c0161b05541,5,0.005342074306802872,0.009817820327996803,0.01063268072439404,0.010620817876588251,bi4-6
1974,c99d41a05ae33afa3b0c07f29417a98d42c98410,2,0.002542188426605839,0.0045968410502071535,0.005141457359657222,0.005131633670767308,bi4-6
1975,3dae953673ef0a1e4900a2766db45e7da462395c,5,0.0009628526319090203,0.002086369396792845,0.0022061602775636188,0.00211207658156592,bi4-6
1976,61f8d7363977c5c6d3fdfb50a5cd3bd0aa75f6b8,5,0.0019864199901543688,0.004110146379508335,0.004365304207821269,0.004303847010875158,bi4-6
1977,c17ab7ae8c386d22cb9fea50bb92545e8fc8c874,2,0.006328350580338249,0.0177312750511077,0.01784891572699257,0.016527402078489142,bi4-6
1978,42f1f6acf252102e2e36b6975f56cb4d9688f0b3,3,0.004263747646902032,0.009431643096331144,0.010281812151997983,0.010115468220472474,bi4-6
1979,607122eddb91f0165a83061a9ee2535bad0e397e,2,0.0010640001002557207,0.0020310334215691912,0.0024931498985695,0.0023759428459635434,bi4-6
1980,919d815360aee661837a81597bdd1412575de845,3,0.005890474431917451,0.01398287023568131,0.014582373915603242,0.013823442377540856,bi4-6
1981,583edfd398d2ed77d4d81172afbee804dd7991cb,3,0.003594990903940315,0.008630068655774372,0.009073145609190323,0.008789308214627827,bi4-6
1982,72ef97ac8afb0eead44b78bc5fc7c4ac64c21fde,3,0.00434120130596186,0.007469151500656328,0.010437964901132009,0.009901719265308464,bi4-6
1983,48fdb95db00d4c7542962813f89f7face439f4a3,1,0.0,0.0,0.0,0.0,bi4-6
1984,b846121e4fd6ec47b12ebd940e2e456e76eabfc8,2,0.0011409373091629447,0.001969924749277025,0.0026236968695789197,0.0025706907025687424,bi4-6
1985,0d4863728f2120ea30f4d79c6003c8f7cf402b4e,1,0.0,0.0,0.0,0.0,bi4-6
1986,018bfc208dd9c3c75b8d889400bc512f6e5f5acd,2,0.0026259238959679,0.005366804460857247,0.006127789193472705,0.006045211353856116,bi4-6
1987,1646adde4296f35c2808f7057f9650bf56e5d93a,3,0.0027351506013173934,0.00600894180058481,0.006466498704651885,0.006132653953851234,bi4-6
1988,1c0545484db8259331305140416e7253a26ce2d3,2,0.0034767110397193827,0.007013655866999836,0.008275397539549862,0.008064251392909855,bi4-6
1989,9ec4204fc9edee72afd1f6a1ab70467397c96f14,2,0.001517001984709957,0.0029069412592282328,0.0038242064024451394,0.0036879463676288957,bi4-6
1990,047638c2e161ce74d237bbb2aafdd238545a457a,3,0.0052280393838387024,0.009025038599092745,0.011146908510166873,0.010980702519814806,bi4-6
1991,7c52f52698091c680c9c0d117b9f5eb26b482b7b,2,0.00495870260855997,0.012696937570640155,0.012719361117884185,0.01199010982502613,bi4-6
1992,7e1a8634cb1a8d9e2b5ec3fcecbfc806a18e97d3,2,0.0010401992482658134,0.0021001107770206072,0.0021002536384785346,0.0020546942433280957,bi4-6
1993,f7c54ef02869ec8c15ebdc7aba679f26edad20d9,3,0.002285868214897074,0.0034595347818078583,0.00500624947418451,0.004868668370011307,bi4-6
1994,fe4c0445a60a951bbd7d3128252c333df8a44068,2,0.0014130032980458657,0.0031922322420162236,0.003597802626692083,0.003427213452332719,bi4-6
1995,d54f5d21b2fd716db9e9c1d3a263cccc14590d63,3,0.0013212653148469283,0.002643883177069999,0.0031691091675360014,0.0030083504955696547,bi4-6
1996,6a5c466d7e2d8a4a166be46b75bd68b051922927,2,0.007592037762080616,0.014624190526904082,0.019095861103625707,0.018099957367321395,bi4-6
1997,4a00b1f48b77b2fd8271504ecb4c2f8a6d71eb17,3,0.003322995541446748,0.0067163268221724325,0.008366394202740964,0.007940903031172713,bi4-6
1998,946ad6863f711bdf5c0c929d73286aab757b195a,2,0.0011078246709135971,0.003005067844183447,0.0030843608239107764,0.002912476021575866,bi4-6
1999,95b8a3978ddc357b993bec7371bb4ca42ff91079,2,0.0017413161585351298,0.00431686220432398,0.004563577475169521,0.004250779291450643,bi4-6
2000,231ccce0d39aa27a9399fcd1c8838d63210a14ed,5,0.07202618615676538,0.14744191340051818,0.1835091173158525,0.17127238804330636,bi11-3_samples
2001,2ed1900e63d6f7ca3849214a0f6d28c698b80c7e,5,0.10746365154349535,0.2301446391702347,0.3414165983200287,0.2882835633899466,bi11-3_samples
2002,53b29d5ebf9bcb6dfcaff7cff5a260d6abdd8704,4,0.0759797166620435,0.1499022851415546,0.2024327341106626,0.19677539485928247,bi11-3_samples
2003,643a59fcd962ca023b7f01d7babb0c65dc515489,5,0.09333439720248127,0.16309613662748249,0.21875527993124205,0.21792120074635085,bi11-3_samples
2004,67b502bbd9e4107ce2c595cbb868a3899edda66f,2,0.07198569668084573,0.2027573970602369,0.21218247085371567,0.21037725510693553,bi11-3_samples
2005,0493a803ba9dad3dbd2b4d1adc362359ea781171,3,0.08283720314080309,0.22215906501812444,0.23250060135161688,0.22801328547137428,bi11-3_samples
2006,1a5532dbe9036fb47d52351886927e9e58a4af6e,1,0.0,0.0,0.0,0.0,bi11-3_samples
2007,b98b833aaa9618fcf8444f7329c5a9ce2cdc5c03,3,0.09481589064795563,0.2107747019384994,0.2980495118199134,0.2687794490019296,bi11-3_samples
2008,bc617a74ee26cb38ce5a0cc54f8af37488be7c2c,3,0.10125286740008473,0.23499567990909723,0.3423354043095333,0.2793808151869267,bi11-3_samples
2009,8c78ae17045ccb133995c81a5ae8d8598f7b4727,3,0.09177230370012436,0.1823899354133485,0.27152605075710506,0.22564866886257634,bi11-3_samples
2010,236f33f8bfd0e69b43ee000783264932c459e18a,2,0.06461788376578133,0.19807471028477405,0.22640258903366753,0.17807677830254565,bi11-3_samples
2011,040da8fc08283f522642293b1a0e86bebfe3c93a,1,0.0,0.0,0.0,0.0,bi11-3_samples
2012,4f7c998369b5d9fc9eddce3ea94f46263d420c93,2,0.08057797744477406,0.24641402902485374,0.2549549678470943,0.23211487626776142,bi11-3_samples
2013,2be927dfed4e4d324bf6b941322fe9f995ae189a,3,0.10001885984210378,0.19348403356503735,0.2604371844745394,0.2558979388146176,bi11-3_samples
2014,e139b23cc841c0ab929dda0935baa3bee7710348,3,0.07709184397850614,0.17565798950495462,0.20730111764821615,0.20414271602950296,bi11-3_samples
2015,5ffa6201b4855aa034ffd7b2a793089741270702,5,0.0927965566569811,0.18326496143654702,0.26557962573450083,0.23859849813474993,bi11-3_samples
2016,02c58f5ab58942f99a06b38f01888adf78c38ff3,4,0.08703458132606089,0.14936564429746385,0.22171393660533076,0.1988446256034744,bi11-3_samples
2017,d1ac1c2c3fa544e68cb88952bd36a613a4a6c237,2,0.09075488229459486,0.22449174471454053,0.2997226543441699,0.2705657824960369,bi11-3_samples
2018,5f0302149199a5713fd012bea6d8d60fcb6a4449,3,0.09252800665637805,0.252021095777721,0.2714330672567168,0.240192921231264,bi11-3_samples
2019,6f04042219e4e37551c61bf451cfeed306e1443a,2,0.11149584300610993,0.2911292828871517,0.37651021856362815,0.35321268598736355,bi11-3_samples
2020,9955a6ca48b12f3560f1783f41ecd51d051f4828,1,0.0,0.0,0.0,0.0,bi11-3_samples
2021,2d34924da1f23c9b5c97ef64f68e44aff6621f3f,0,,,,,bi11-3_samples
2022,006de09701cfddcb204039d368af0e689d25eb3f,1,0.0,0.0,0.0,0.0,bi11-3_samples
2023,08557f08ec213826f9f2040aa244eaf1d2cf260d,5,0.0799308203179997,0.14793233928676547,0.1990108996881702,0.19638013925496045,bi11-3_samples
2024,6326c64b785331a5cf6b8faace4e4a75d740913c,0,,,,,bi11-3_samples
2025,928935e71f4e22a13163ea4f5bb7e4a7da91742a,4,0.08882432673739905,0.20316242966090625,0.2395228359552996,0.2187977293232291,bi11-3_samples
2026,b2b35f3b7df316908525d3457d7463dee21a1e26,3,0.14155491929573238,0.2909155684644579,0.3994758957694539,0.3627423671995961,bi11-3_samples
2027,d4a5c75c6d4212e9d0901fdcedddf294804e6272,2,0.13847736393683097,0.3034592116905174,0.42301141573484297,0.38186008284371575,bi11-3_samples
