idx,config_id,true_energy,oob_model_count,energy_std_oob,source
54,5a304f4e56de7bef277988f967779f63c9281e5e,-64251.65234375,5,0.10743195284280482,bi11-3
55,d2cd575f6abdf57e92560a167ba1761084ebb5dc,-64251.65625,2,0.20010048759616353,bi11-3
56,6c603fb562672e0a2dbe5ccf1ab789d1e5bec2ed,-64251.59765625,3,0.04952078706375287,bi11-3
57,280327549354661326bc2347693a3227878fe37b,-64251.44140625,4,0.09432920417741565,bi11-3
58,59dca57cec551dfb1edd2ef23b5326074a610113,-64251.3359375,5,0.1081403362218436,bi11-3
59,bec836d5821ccc86296ee9a41cec57d4a8666e9c,-64251.17578125,3,0.04876522920320921,bi11-3
60,615070d95e780aa535f9ef2e2736ea0ba559dc69,-64251.6953125,2,0.07882664126640346,bi11-3
61,da8465eb77a59b8d3c863ff94f12c42ce373c918,-64251.578125,3,0.08420020183882446,bi11-3
62,147490e6bb14354094182bf72b8412ae37515771,-64251.2421875,3,0.13986150554802038,bi11-3
63,4d0b24cbc0662b7903adb90a236bda96c194daf7,-64251.67578125,1,0.0,bi11-3
64,5e7415f0c09f2d1a3170ae5a0f47939bd1bcc292,-64251.375,2,0.03900915374324413,bi11-3
65,69beaa9c724425ebd221a90add24742b26aec558,-64251.72265625,2,0.08035301331920244,bi11-3
66,30f2e1b910a1cb10892f99dc20eee19bd1b5774e,-64251.75390625,2,0.07842906097912344,bi11-3
67,414e799faa3cf8b966c3c4bbd8762d3dc6269bdd,-64251.6640625,3,0.11051684271387097,bi11-3
68,c3e940887244fada8e30630143aa70a1a8f981f2,-64251.72265625,3,0.10906152294314263,bi11-3
69,3629fe2421656ac2a7f4e91ae83e13690bcc0902,-64251.5546875,1,0.0,bi11-3
70,1c1c22ff055c5f4606714155957174e59c7c50f9,-64251.49609375,3,0.11744463327678381,bi11-3
71,0b486692e2b28a3e86570fdec8e38755a90bf7dd,-64251.6171875,5,0.10840149252883063,bi11-3
72,0c8c7e0be5375fa24b872ea81e83aae73a524390,-64251.359375,5,0.10861646167469174,bi11-3
73,fc7d9d4e4be43a3729573827de154a1c9cf0dd4f,-64251.5234375,1,0.0,bi11-3
74,000c10c3281763c5444c2af0c2c1c3f763d25d3e,-64251.4453125,0,,bi11-3
75,20f8710fca8a106340650828644a9bbe1612992b,-64251.51171875,1,0.0,bi11-3
76,3ccc724c9104ab1d02a597cc9a50db6f694da878,-64251.0,2,0.11726805404491492,bi11-3
77,a1bfb03521654eb5d78b6e31813149a7604180f3,-64251.60546875,0,,bi11-3
78,0282b6071d105812b88e58047835bdb54acce8f4,-64250.92578125,2,0.056725348081349866,bi11-3
79,467d9a303b42efb395679ebfde3f4b514d699a20,-64251.0625,1,0.0,bi11-3
80,9af65e6fa0db7c34d4bdc8a471f212bde9097d8f,-64251.03515625,1,0.0,bi11-3
81,09cd804ddd4ab0958ecd7e032ee251144c08f207,-64251.09765625,2,0.037002193606903,bi11-3
82,ee5dc39e6ee739d74c22715f7e2239a2b98bda75,-64251.41796875,3,0.14247696733244541,bi11-3
83,ed9bab3ccddbe46aba05ba707caf0db63c6ef02e,-64251.46484375,4,0.1254459056952829,bi11-3
84,c906c90c695032d34e87ea0f2679ca248f2c2c16,-64251.359375,0,,bi11-3
85,328f9af2c6c1f38be2badd6317376241517052e3,-64251.19140625,4,0.11919549317502448,bi11-3
86,df4fb40d50424995bba9f705b8a1e3ab2d352d44,-64251.12890625,1,0.0,bi11-3
87,a880268b58280be3bd1e889e14fff625bb9f38e4,-64251.16796875,5,0.11124029447757787,bi11-3
88,4370499e629f051abf3c6f5cb41f6e54c3de87c6,-64250.9921875,2,0.13544784875018756,bi11-3
89,c39687e749162245c03ad40fa91151a509b308e4,-64251.578125,1,0.0,bi11-3
90,ad0abcea9c112d056c52b988373f0f60bf626961,-64251.0390625,3,0.0851430150845488,bi11-3
91,a33809cc9ebfb693141a8b291d57a7ae3a9484e4,-64251.2109375,3,0.04875043434438933,bi11-3
92,acb9cfa7636afc41e904f2bbc57825f06ea9daf4,-64250.94140625,3,0.049302844703122906,bi11-3
93,0c0e39410ca6e1393024767681316d6604aa5abc,-64251.41015625,3,0.05628793847616909,bi11-3
94,4f9cede2652ff7b7e1d259a99f5f8fcff1983918,-64251.7421875,2,0.07462704623214166,bi11-3
95,7cd91f1dfccf3ea6c6e1a9431ca441f570847c8f,-64251.5,2,0.07664359673157302,bi11-3
96,3c084dfbe526094b3e61ff96183c64cb1e225af7,-64251.58203125,3,0.056746470554784725,bi11-3
97,192a631ac33681ac94fd0d60e3a44f97de3d26e7,-64251.65234375,3,0.11068021539595023,bi11-3
98,cbc9afb545fb2bc44726a63af7db52cca2c2cf27,-64251.4609375,4,0.06915671900458188,bi11-3
99,7aad6d2034ad4895d905e5de666d891f5dc2a035,-64251.91015625,5,0.10739768366060863,bi11-3
100,a56ebe77ca530a4e619b065cb0ee2afb37fdf466,-64251.58203125,3,0.1443555659219032,bi11-3
101,030215acb82eafdcc08942755f0b733252034a82,-64251.734375,0,,bi11-3
102,57496cab16f424a06f79fd1c99c5a2f5676f5c11,-64251.73046875,5,0.10717907892574426,bi11-3
103,05bebbbcc49f281ef8b7495562fac8f138c87dd2,-64251.45703125,2,0.0740467998982132,bi11-3
104,03bfa2221fd14ea0e4ab7cde20308c411594c4f7,-64250.76171875,2,0.19674428152517165,bi11-3
105,e0dee0dd2f262f96253790893569ca3c84960542,-64251.48828125,1,0.0,bi11-3
106,b56a8052d5fb7ea08d3341688bcc207434c01cf1,-64251.3125,5,0.11154097750337824,bi11-3
107,46b3509b08d877bd34f1ccef4828df651ca456db,-64251.79296875,2,0.11658943887531212,bi11-3
108,c3f681e9816d11d65f6d627414b75c450e7a01a7,-64251.6875,3,0.10908499277438179,bi11-3
109,2c85cfaecc262780d2b4851a2c876455cff4f30c,-64251.55078125,3,0.14615290446821652,bi11-3
110,c3f63521f6dea958f58e01bf03ad5003817d4076,-64251.421875,1,0.0,bi11-3
111,301cbfc608361a57903e3fff649d4284f8004f50,-64251.359375,4,0.09664721749371546,bi11-3
112,7cbf14c58a6febf109548dca9d5c9d9f6cfc74eb,-64251.5,3,0.08468178813450365,bi11-3
113,cb16f91b6142ee1301dd2e86b3280f64b9b348b8,-64251.48828125,3,0.11846135630721202,bi11-3
114,07c2fd273ce11ffc56c1e3986799fb4ca553a910,-64251.453125,2,0.19971270475335226,bi11-3
115,e1e01e8030fdfd82bf2dbd7173614a81ca8dfcfb,-64251.44140625,0,,bi11-3
116,c30c54763e562a97c1eb757ba6ddefb703679804,-64251.078125,2,0.04058703805295622,bi11-3
117,19e4286317b49dee222d94abd8e3b234c9543c80,-64251.7578125,3,0.10761066332989577,bi11-3
118,5d6a991233ba16d821f41502b3d348b0f1796f83,-64250.91796875,3,0.14530734969540365,bi11-3
119,acf9f1846854d5471b8fa420dfa208b21da77a67,-64251.25390625,2,0.07504059635236222,bi11-3
