atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.788300985963685, 5.3178956646373585, -0.15626950881995066], [-2.7078244195854055, 5.6444808667080695, -0.17353862626724384], [-5.518107263243121, 2.3781686880563053, -0.04279651522300733], [-2.459528572932665, 2.6086902052844, 0.28749785705423225]]",[-267.65418520147114],"[[-1.141902155660924, 0.19177190992168627, 0.054880147941304205], [1.03417410966863, 1.0275001621545934, -0.20353832907028865], [-1.0183430131593394, -0.3842802026409358, -0.16358920163838084], [1.1260710591516332, -0.8349918694353541, 0.31224738276737046]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.659918586398089, 5.426301268134015, -0.07437994817805514], [-2.717198649853343, 5.514142948786503, -0.15060713417208121], [-5.429482169334922, 2.555055112174041, 0.0001562503954830735], [-2.6375815420564055, 2.6949572789393805, 0.02480506888087354]]",[-267.89844079242494],"[[-0.28841500283855087, -0.19256128367297615, 0.04038314218178908], [0.23936823261502982, -0.7300075734338476, 0.010079256503280372], [0.9862583736719974, 0.3194130456876621, -0.03052652963330614], [-0.9372116034484609, 0.6031558114191462, -0.019935869051763314]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.755371401369096, 5.282462252384823, -0.12193186654039445], [-2.926092182723741, 5.772467782613617, -0.16984051256275468], [-5.491473306816868, 2.5193994144448117, -0.016999480041972673], [-2.4274680298353437, 2.706460075184128, -0.22158427800278552]]",[-267.70463979478825],"[[0.2890860761966069, -1.112907382093568, 0.003685515098361058], [-0.3846634330423043, 0.9534211808269998, 0.05581480612792733], [-1.054702788739282, 1.1306522988796894, 0.05467922147859464], [1.15028014558501, -0.9711660976131725, -0.11417954270488566]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.730537255929441, 5.762449771290789, -0.08003200361076253], [-2.7913562644417196, 5.78399272205501, -0.10082815216424051], [-5.548088511991783, 2.382600011259357, 0.06448022294414374], [-2.6362093098151367, 2.7045995947049173, -0.04396990291808388]]",[-267.27486233107913],"[[-0.1096325959579558, 1.9225154379401173, -0.09308828642747628], [-0.026739094546772167, 1.2107198818287315, -0.012943365325732398], [0.12333790872298908, -1.951527585621401, 0.09305838486469888], [0.013033781781739915, -1.1817077341474995, 0.012973266888509293]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.653547773585453, 5.466530569967815, -0.3269644531053218], [-2.755990183336874, 5.499892134380143, -0.016340911748889964], [-5.410476782762465, 2.4344769107009774, 0.22141776070793556], [-2.6295393215035126, 2.861774118889076, 0.048864270169095184]]",[-267.45738569360003],"[[-0.03362923695274079, 0.8781230834079832, -0.2891112151800706], [0.24723746255720172, -3.394383957638937, 0.22853399876221886], [0.8005039946360086, -0.8800396761400485, 0.2546340678346839], [-1.014112220240467, 3.3963005503709507, -0.1940568514168322]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.7178972236730266, 5.514265690553205, 0.1668949566805615], [-2.7953811613012345, 5.6556165725164345, -0.2409744618362043], [-5.411122977583431, 2.5120066212872874, 0.09379411294622796], [-2.4857444448683106, 2.752622462631255, -0.13724381197958763]]",[-267.91336157372206],"[[-0.46614174873983555, 0.7778948195306458, 0.10783225994611012], [0.1776632120872713, 0.04360561549665236, -0.07554589227268088], [-0.10438827555966462, -0.6087103774163665, -0.04818952493981879], [0.39286681221222375, -0.2127900576109086, 0.015903157266390567]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.666317016618775, 5.522446256936836, 0.04556985804482124], [-2.826939232890733, 5.5809766780400984, -0.27924587814057916], [-5.3169959796301285, 2.5841127925680762, 0.19936330056063967], [-2.4423386750088274, 2.4768833550459433, -0.09493794451677291]]",[-267.66952676425024],"[[0.15198701053230168, 0.8076202181670203, -0.06686924240528883], [-0.9902982649637005, 0.8747560594147388, 0.039444243271337484], [0.7373700722249296, -0.14261210651995965, -0.0774202106965433], [0.10094118220648471, -1.5397641710617478, 0.10484520983049156]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.595975185040306, 5.379138352789751, 0.09671972708770424], [-2.9666639366765994, 5.646680634493236, -0.2685158755125266], [-5.438250000409619, 2.4655820410869467, 0.08893024648992114], [-2.706472068760703, 2.8548625336415934, 0.18337213578669725]]",[-267.4825784965722],"[[3.367921755365304, 0.33146795037261817, -0.25830130902257287], [-2.9470741009849526, -0.5080336129392257, 0.2993993976178716], [1.5285136618517736, -0.18443610400919977, -0.08234530111622802], [-1.9493613162321766, 0.36100176657580724, 0.04124721252093286]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.644199091325089, 5.501237698103527, 0.11804424711022027], [-2.696654683280407, 5.599543454201549, -0.13542233479965604], [-5.407827548113906, 2.3580832841543518, 0.1532299282814188], [-2.509807422746171, 2.672267934119566, -0.1861182259097059]]",[-267.7869690509746],"[[-0.3913893401086325, 1.3041482601299819, -0.007673935455120078], [0.27820741018804185, 0.3199611320127138, -0.0014783233436208149], [-0.02763984108955168, -1.3342295696372657, 0.04754666786029082], [0.1408217710101444, -0.28987982250545047, -0.03839440906154978]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.755506307182002, 5.519687678225485, -0.05868421182652556], [-2.8909017068279597, 5.5564283690731155, -0.07670869874914321], [-5.6253692345232125, 2.6277667468920827, 0.20886557031914293], [-2.676799723035321, 2.6487504888867712, 0.04265075768361935]]",[-267.94427649582764],"[[0.18887081558203953, 0.14728613434129956, -0.04630550525788653], [-0.4709638118873956, -0.07515946997830489, 0.05247879106628888], [-0.16729316984240464, 0.13088608002592494, 0.04144069945414293], [0.4493861661477608, -0.20301274438892478, -0.047613985262547336]]"
