atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.9529036274550045, 5.415830646556465, -0.22999820205059815], [-2.7536483586230127, 5.671640641019644, -0.3078699958514083], [-5.478918912476098, 2.489595665305381, 0.25787914397938855], [-2.5051292069039444, 2.6752239503158766, -0.17371640239732317]]",[-23365.922445829572],"[[1.1638984194120126, -0.2681224473784915, 0.1465819116343961], [-0.9535522400455406, -0.3878513314142081, -0.08266353189386161], [0.37786912073084344, 0.2625923099618445, -0.23329524177256192], [-0.5867450910770133, 0.3961394927126324, 0.17385418354570975]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.536949632123157, 5.339993481461255, 0.0043964526973225004], [-2.6459296482079675, 5.6867786175139, -0.261678051987833], [-5.461641807459163, 2.398891000591977, 0.05580126678678364], [-2.5285760894734275, 2.738014916449254, -0.1842521074557764]]",[-23366.096758784024],"[[-0.2887439402314023, 0.1432955257616565, 0.012028743079443505], [-0.01573047547027563, -0.19192015271347676, 0.019526901642748347], [0.2268333360565245, 0.1580911013271646, -0.01422184386314671], [0.07852168810563309, -0.10970990655687382, -0.01718293358456492]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.834658778276464, 5.578771729236692, -0.14706197172508118], [-2.7333633836348223, 5.510120200200426, -0.2500589856644931], [-5.6702900592365335, 2.422392679428874, 0.18037723899986702], [-2.424378078478548, 2.752198932522665, 0.08470029417466733]]",[-23365.681999373737],"[[0.9557901294710082, -0.8504380909090813, 0.03672568865814672], [-0.8937354920176209, 1.029036785156312, -0.07767378923760611], [1.0853018093189506, 0.8324958947157423, -0.09262820764399818], [-1.146778462463003, -1.0116468622265187, 0.13079759209202932]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.741575757233626, 5.478659404885212, -0.2017194319343122], [-2.779792593437509, 5.676140455513922, -0.17199351512744304], [-5.663944966309695, 2.455360295634746, 0.1375630783816684], [-2.4388666803574965, 2.7974313587736366, -0.10634690331882213]]",[-23365.9064380841],"[[0.31317025648434055, -0.36469205549774775, 0.13301738094126142], [-0.3738153115633962, 0.17927340351082335, -0.09529948245728369], [1.112744751152211, 0.5480103721541754, -0.21059573077689905], [-1.049317658074611, -0.3606688938968809, 0.17344491511884172]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.663871437832321, 5.563028211488431, -0.06268865630672897], [-2.635224990459694, 5.737376183496442, -0.13600822365155232], [-5.404883380234831, 2.5135495755411035, -0.009962135258792068], [-2.6026053733600776, 2.8247089584903278, -0.09984018002776926]]",[-23366.031158174617],"[[0.3492402311995233, -0.474824703069483, 0.008598709593881199], [-0.4389353741620132, 0.017595631864941175, 0.006629783418411578], [-0.819254706134449, 0.5431586978138063, 0.005317198535423164], [0.9073885715524527, -0.08607065683762599, -0.019356699661834863]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.696497199726951, 5.423217720741149, -0.011814667245582174], [-2.855042505081122, 5.684808860037697, -0.25467846729036664], [-5.60912196798536, 2.4694115473129417, 0.015712657367469837], [-2.4202520357771036, 2.654954310189856, -0.04209543709111703]]",[-23365.956265859957],"[[-0.35383767471913147, -0.1783348989174362, -0.038806457882798136], [0.46100475884748116, -0.5199848180233381, 0.08024042009453074], [0.9144570522607421, 0.17769376827964373, 0.047102029104618824], [-1.0227848872622785, 0.5249938439639352, -0.08797486831084489]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.715369615323897, 5.310432498897311, -0.11569843685457258], [-2.88640306796382, 5.498385101050781, -0.13901201142535055], [-5.4995223754403275, 2.5416502744921354, 0.1913793644051285], [-2.5147978235407416, 2.7287221608468193, -0.08651668060377048]]",[-23365.885775290313],"[[-0.7032330977910367, 1.145167922554785, -0.024266347268248712], [0.6017947946190991, 1.393540738643068, -0.1499589032324959], [0.3090043471572536, -1.3303563578377156, 0.020419208629061936], [-0.21179448257576164, -1.2072199889035935, 0.15523403849700837]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.49470410511645, 5.478807342047328, -0.15149035209208156], [-2.6878818410459817, 5.533624768581268, -0.2162819016328883], [-5.61157795029864, 2.303167270884005, 0.0320109972062748], [-2.6119178531493925, 2.76874733725997, 0.05773325122893952]]",[-23365.81693305525],"[[-1.1463254338362023, -0.7017526557745107, 0.012254470634842739], [0.7689037367241776, 0.9754739919060889, -0.06894509488063445], [0.4743220007022181, 1.0494436421989768, -0.019170417992884985], [-0.09689079050325146, -1.3235830399350828, 0.07449729237456834]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.758065128955048, 5.32760376063652, -0.09577206080178827], [-2.822774148158797, 5.716715750050281, -0.047503814932847804], [-5.608436343161726, 2.542821885692518, 0.16149266775572657], [-2.5534116873600428, 2.6557858668258807, 0.09853795043074709]]",[-23366.00183574032],"[[0.08642552069160464, 1.0274894944207347, -0.03761292028402158], [-0.1474308903663462, -0.5723242797149245, -0.02213836742131968], [0.6536976827531897, -0.9308977233800084, 0.02539643514822738], [-0.5933852257624594, 0.47493690607330585, 0.03449530685804958]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.70177619985437, 5.286337810570872, 0.0816902785774781], [-2.8049873626788724, 5.641621850708284, -0.09063847377974332], [-5.525396157588852, 2.5071635048003653, 0.3655342709092629], [-2.4685815467210164, 2.5998844293005536, -0.08407042469864244]]",[-23365.979517794956],"[[-0.07789824666734338, 1.0000897471443997, 0.0029316125216421332], [0.07087157211950658, -0.4442753526840053, -0.0996887179280932], [0.7153913371237006, -0.99342081608767, -0.09337310806259473], [-0.7116724914607914, 0.4406843423407586, 0.19139127650159873]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.757574627093074, 5.2728934416967785, -0.2040113822122286], [-2.7915114603365376, 5.461858125799067, -0.09782172431559018], [-5.36265998034677, 2.5153277478297325, -0.12246538282788953], [-2.4317778164086445, 2.608819369101839, 0.1431978885212298]]",[-23365.97184390778],"[[0.209975014709463, 1.132230124313801, -0.07486999969432451], [-0.09798392132601313, 0.700232104526554, 0.01127007696693156], [0.034144006555017266, -1.4617012352504077, 0.10250325468851457], [-0.14367399235566938, -0.3657542816434712, -0.040444143513159954]]"
