atoms;coordinates;total_energy;mulliken_charges;forces
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.729927556084421,11.118880830169775,0.020573044620044924],[-5.360820108802194,11.148688977085062,0.005279475475870528],[-8.300446912805365,8.121828626865328,0.06473827603176159],[-4.905311225816466,8.519156837319805,0.094707067743254]];-9.787556375416;[-0.52014276,-0.48085269,-0.50469586,-0.49430869];[[-0.040891091397,0.006288393662,0.000065965561],[0.043243781531,-0.063941717036,0.001927734540],[-0.034441550445,-0.004739444559,-0.000388424360],[0.032088860311,0.062392767934,-0.001605275740]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.531074648156116,10.998224236191705,0.15260185144673935],[-5.213480912244529,11.192276916854903,-0.14937859224041425],[-8.422710039981922,8.196650223358194,-0.04378829662940291],[-4.9513745626381915,8.649530372411999,0.07971250442890442]];-9.767142116001;[-0.49419244,-0.47889728,-0.52228828,-0.50462200];[[-0.022015460409,-0.020760348404,0.000451490902],[0.035876084358,-0.103294683235,0.007725687730],[-0.026092543728,0.014420469444,0.000863590991],[0.012231919779,0.109634562196,-0.009040769622]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.402248961926382,11.025714326875985,0.02984646209813446],[-5.348229153932522,11.268329426667961,0.1497305865425607],[-8.290853924149884,8.284944663768002,-0.0648776234048392],[-4.9443623602355435,8.52123691086716,-0.044749480492867505]];-9.814628679803;[-0.48583906,-0.48585837,-0.51152586,-0.51677671];[[-0.022988772105,-0.041811095121,-0.002521944074],[0.027517336121,-0.030307347936,-0.001157261722],[-0.039772234444,0.038634402455,0.001415594981],[0.035243670427,0.033484040602,0.002263610815]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.602854167865075,10.94504905700694,-0.03858042904564836],[-5.21700608572802,11.178417596423408,0.0092112993791049],[-8.267637132703705,8.264127986120096,-0.017965589581879035],[-5.002328891402333,8.658103406720315,0.05153481363760193]];-9.758926383048;[-0.51441690,-0.50388610,-0.49555157,-0.48614542];[[-0.017883310886,-0.049223369864,-0.000028610327],[0.034631066743,-0.137985088537,0.002729635384],[-0.027409675254,0.045831220588,-0.000790667510],[0.010661919398,0.141377237813,-0.001910357547]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.744557105750902,11.052204922328814,0.090267297624883],[-5.382213788256634,11.299330153792958,-0.07563176559339717],[-8.211950085692889,8.150535077284243,-0.018571813369039604],[-4.9230254065489385,8.635362052363874,0.011359868624009357]];-9.798452547299;[-0.51725403,-0.48995476,-0.49948098,-0.49331023];[[-0.040109585114,-0.005078546512,0.001894264391],[0.043871085506,-0.049572400357,-0.000346653874],[-0.035288308343,0.001537452394,-0.000338936740],[0.031526807950,0.053113494475,-0.001208673777]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.737291679891863,11.093072591490989,0.023644239314613524],[-5.283542917132338,11.219918277169505,-0.04066664566165805],[-8.368743995191087,8.253488498192487,-0.03784103097109938],[-4.8059265425682804,8.421729669862605,0.060964216877356925]];-9.781532027547;[-0.50463035,-0.48283551,-0.49664507,-0.51588907];[[-0.034404827653,-0.007727246635,0.000378940617],[0.030867014371,-0.014595766658,-0.000136662956],[-0.028985268303,0.010646777851,-0.000675901931],[0.032523081586,0.011676235441,0.000433624271]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.504427359037031,11.020270497521619,0.05271062964903555],[-5.2425430398365505,11.292934302443243,-0.013310184880981984],[-8.316890483452106,8.210348560983002,-0.22398421947207667],[-4.883077926625449,8.563048436014677,0.07510117082788892]];-9.797511200230;[-0.49377333,-0.48841200,-0.51077370,-0.50704097];[[-0.033568788863,-0.024476047584,-0.001564197301],[0.039402873489,-0.034132588599,0.000597605167],[-0.039980052278,0.017965572283,-0.001116285652],[0.034145967652,0.040643063900,0.002082877787]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.691545597951922,11.007500962028336,0.17105874599099333],[-5.338101628339435,11.375898310069067,0.029055446660064273],[-8.303344552951897,8.356455446255902,-0.0034832330061876945],[-5.06016539094812,8.541163705300928,-0.0199646000322651]];-9.799841799405;[-0.50392764,-0.50665323,-0.48695159,-0.50246754];[[-0.032675148290,-0.062033058477,-0.002092513573],[0.039572196607,-0.018004509166,-0.002059695677],[-0.041840780838,0.058854736487,0.004077609298],[0.034943732521,0.021182831155,0.000074599952]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.616152747727993,10.96053228329679,-0.07315401199722947],[-5.227960277182217,11.101941314658662,0.00624098376307208],[-8.280656539307273,8.276337921702654,-0.046286681905112426],[-4.816827024994957,8.505154866735435,-0.035246925778495024]];-9.769078037079;[-0.50671036,-0.48087099,-0.49836132,-0.51405733];[[-0.020131684173,-0.039330045855,-0.000090106363],[0.028739395706,-0.070942544633,-0.000700887256],[-0.023056122171,0.042753002369,-0.000477600818],[0.014448410638,0.067519588120,0.001268594436]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.789078209126874,10.888601975031984,-0.16629416505777544],[-5.382230661265017,11.262513593361927,0.10599775923580904],[-8.262053245110648,8.084380675753971,-0.04256307838033195],[-4.961239991151692,8.584063295946542,0.04422173885270575]];-9.792147816585;[-0.51378959,-0.49727347,-0.49543764,-0.49349929];[[-0.035456976796,-0.020160847063,-0.002169189630],[0.042798488725,-0.045145498595,0.001663326583],[-0.037204528690,0.013524964724,-0.001762337062],[0.029863016761,0.051781380933,0.002268200109]]
