idx,config_id,oob_model_count,force_std_rms_oob,source
272,36d1dabaab78c3110389c5f3059aba0be9aebba8,1,0.0,bi11-3
273,6fe86f8bfad6657206a993f83f386a3611d76377,3,0.011388361690016367,bi11-3
274,62f0a0d4f2e44fc9dcb25dc103518323c21d848d,3,0.010718227272056385,bi11-3
275,6792894bc6bdbae56a3dbd571c624a561f41ec8f,1,0.0,bi11-3
276,425123994093da59bbee7255cfb6285c5086b2f7,5,0.014754387429490085,bi11-3
277,c7ebdc6a6fbededaa8b54799d333f70ffc1d218f,2,0.008566101230702537,bi11-3
278,178067a7af1b6897f5cbeeb80c53aec496753a28,3,0.010717974663166782,bi11-3
279,b0bafbc1025c570a9a292d4463544efa5b352860,2,0.007013911137674778,bi11-3
280,c712ce25d45763a4205ee4ea789fb7dd51d31ead,3,0.006695073356183909,bi11-3
281,ac7dc6bdaa0288b83c5b2ce288e5e92fd1303853,3,0.007247304684613672,bi11-3
282,bc6576dd6105d776e6a3d308f73e30a163a846da,1,0.0,bi11-3
283,b26b2c17523dc579cc53d3206c5a03328cc9d766,4,0.008578042269925819,bi11-3
284,b0b53a57b50c8a8e55c4ae3c2636e921f24ed3f4,1,0.0,bi11-3
285,4a420ab481baaee7c00c296c9773bf1182d01a19,2,0.009475583036101099,bi11-3
286,cc2fe42939804d09bc633845e0d85035a649a04d,2,0.005304178238784904,bi11-3
287,875c9e6685bb0dd1760c626dcbb081763588c53e,2,0.011151083271873315,bi11-3
288,1edbbc7c846c4396943db1877b405a8b156d4ef2,1,0.0,bi11-3
289,e8ca6a196a47344f8f783e21092b0875b78726ed,3,0.013320109776375468,bi11-3
290,7f712aa2ce9181b52dfa9a609160c5f6c0512b2b,3,0.007076864820129246,bi11-3
291,1a28b02af535f9b05476d0b67cb5edee1696543c,3,0.019323147696039863,bi11-3
292,0efe221acfdaf166e950e6b9616b59305dd432bb,3,0.007171259124983746,bi11-3
293,40645744eab65a1523c33456817ef643191466ea,5,0.01078591032460309,bi11-3
294,21bc4b354dfb14aebc7eda4b00f1d23109b5321c,4,0.006253327559219717,bi11-3
295,f0dc31a9845ab16bdfddf56fc35f211b2f11a527,3,0.012691417390051548,bi11-3
296,55772984fbaf206eaa9b5725e74daa681de4add3,3,0.00872957655926778,bi11-3
297,5a9073321ec714e2c8bd71cb4296cbb22ae11618,1,0.0,bi11-3
298,4ad5ec57c34652f7ff97ea30d2e76525ede530b9,0,,bi11-3
299,70d633f09fd160e580c16003423461b7dfa995b6,3,0.007115779588164469,bi11-3
300,d4438537025f922eec4879d8d64a6941f73bccb9,3,0.0062692329330203125,bi11-3
301,c4af629c904bdcefece0808b86ee97d8b31f24f9,3,0.009826387462682556,bi11-3
302,a6b7294052f0e21df5dc480d95ac91c76560b78f,2,0.017797696750977997,bi11-3
303,55d08e37cfc3662138179dba23baa6e8508e6914,1,0.0,bi11-3
304,4f854ba02029b8869ac104c991c1facc5190e8ae,1,0.0,bi11-3
305,faa39dcce373ee4d5e1d41cab6fce69d2e8587c9,2,0.0076260251230593525,bi11-3
306,7d2597c8b6846be3d66f5900444aef5e3b188dae,5,0.00489443811334872,bi11-3
307,560cb3b5cc6c2498944c326838a6f3b7ebf1e923,1,0.0,bi11-3
308,6bdc5147562e030fd44fb878164104cb112e3ed3,5,0.013028906650864577,bi11-3
