idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
2056,455fc46d7120711f6854406766fed735e6536bc5,-64250.70703125,3,3,0.2617118652056073,0.07422296640639325,bi11-3_samples
2057,c787f47535b1f73fd6223c98186b04f65a70fc45,-64249.33984375,4,4,0.2701908098177317,0.14845049530403076,bi11-3_samples
2058,45a8a31b2ec5edfa8d582a4b073c5d9c9a93d401,-64250.3359375,1,1,0.0,0.0,bi11-3_samples
2059,1e4c03b10ada3aa8350288a5005e8e9d693fbbbf,-64250.1015625,3,3,0.2662311017400513,0.10767056709989725,bi11-3_samples
2060,6a3976b50d90064fe4f0558d92a75582348821e1,-64249.6640625,3,3,0.242199902527243,0.11756294616149691,bi11-3_samples
2061,9e6ad7ad802999634afd5e487db14546fb484fe8,-64250.3203125,3,3,0.3109606105645218,0.11982767630959949,bi11-3_samples
2062,1ad636c0368a90d37cd73119136e682db11ae4d5,-64250.421875,1,1,0.0,0.0,bi11-3_samples
2063,bd4a6d05ff939890e02c48d428649d3744210130,-64250.3984375,4,4,0.2655177725947764,0.0813559720469995,bi11-3_samples
2064,484145d395405d77d26a2f006d9d6228ac704a68,-64250.55859375,3,3,0.3573527283785093,0.08530158969077009,bi11-3_samples
2065,c315402e4c7213e10884861dd1c56d2a6138f671,-64250.00390625,1,1,0.0,0.0,bi11-3_samples
2066,5b57c6b9fb2aad5e08614dc55b6538b5610af901,-64249.96875,2,2,0.3481163102044147,0.1378883716664981,bi11-3_samples
2067,7583f6edac4b02885801ac3bff071777e020b84e,-64250.50390625,4,4,0.22861617819652544,0.05825544989663042,bi11-3_samples
2068,c663d2d56e3588fae89e6ff7a6c96166fe5c81d6,-64250.29296875,5,5,0.24596269920207536,0.08046461106118863,bi11-3_samples
2069,39d16c463f9d50851855e80a489d03b48bffc363,-64250.3203125,2,2,0.07610703750458644,0.08683774061708249,bi11-3_samples
2070,16d19c23d2c9da514ea18bdb8dd703e536f8dbcc,-64250.71484375,3,3,0.22274781167569452,0.11626095437268451,bi11-3_samples
2071,18ed8c129bebc71031bc56a737e77d14d88b8174,-64250.65234375,3,3,0.19212427110847904,0.10419953804276721,bi11-3_samples
2072,5fe41f90b097a196f46c49013700860d11a9a529,-64250.09375,3,3,0.2706219021185912,0.09717053459591772,bi11-3_samples
2073,a53d9657aa0ca0d78af72c9b64a09f9b8f27c21a,-64250.65625,4,4,0.23088242398123993,0.0720132835696097,bi11-3_samples
2074,4434d693b66c9aacb816eff03685c5809967780e,-64250.2734375,3,3,0.25638210330529826,0.08912186590914264,bi11-3_samples
